id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,id_planta_agrupado,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
4153,270402087,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042587,297025,AVENIDA                 ,FILIPINAS                                         ,4,28003,"439661,6","4476772,54",1,Puerta Calle,1,Abierto,10,PB,CANOA C.B.,1,Anual,1,Abierta,18.53,18.53,05/12/2016,11042587,297025,AVENIDA                 ,FILIPINAS                                         ,4,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,10,10.0,30,  
4154,270403733,7,CHAMBERI            ,703,TRAFALGAR           ,11039950,661700,CALLE                   ,SAN BERNARDO                                      ,98,28015,"440171,6","4475761,53",1,Puerta Calle,1,Abierto,20,PB,TABERNA ACUERDO 2,1,Anual,1,Abierta,11.88,11.88,05/12/2016,11039950,661700,CALLE                   ,SAN BERNARDO                                      ,98,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,4,4.0,12,  
4155,270406754,7,CHAMBERI            ,702,ARAPILES            ,11039619,206900,PLAZA                   ,CONDE DEL VALLE DE SUCHIL                         ,20,28015,"440043,6","4475937,53",1,Puerta Calle,1,Abierto,30,PB,EL SEISCIENTOS,1,Anual,1,Abierta,70.02,70.02,05/12/2016,11039619,206900,PLAZA                   ,CONDE DEL VALLE DE SUCHIL                         ,20,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,18,9.0,54,  
4156,270411010,7,CHAMBERI            ,702,ARAPILES            ,11039470,622200,GLORIETA                ,QUEVEDO                                           ,5,28015,"440213,6","4476140,53",1,Puerta Calle,1,Abierto,10,PB,CAFE DE ITALIA,1,Anual,1,Abierta,40.18,40.18,05/12/2016,31040009,622200,GLORIETA                ,QUEVEDO                                           ,5, B,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,13,13.0,42,  
4157,270411624,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042705,669400,PASEO                   ,SAN FRANCISCO DE SALES                            ,28,28003,"439408,61","4476962,54",1,Puerta Calle,1,Abierto,20,PB,BAR,1,Anual,1,Abierta,13.77,13.5,05/12/2016,11042705,669400,PASEO                   ,SAN FRANCISCO DE SALES                            ,28,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,7,7.0,26,  
4158,270412637,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042550,297025,AVENIDA                 ,FILIPINAS                                         ,26,28003,"439884,6","4476877,54",1,Puerta Calle,1,Abierto,10,PB,VILLACASTIN,1,Anual,1,Abierta,23.76,23.76,05/12/2016,11042550,297025,AVENIDA                 ,FILIPINAS                                         ,26,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,6,6.0,23,  
4159,270413071,7,CHAMBERI            ,702,ARAPILES            ,11039392,321900,CALLE                   ,GALILEO                                           ,70,28015,"439777,6","4476369,54",1,Puerta Calle,1,Abierto,30,PB,CASA VÍCTOR,1,Anual,1,Abierta,10.27,10.27,05/12/2016,11039392,321900,CALLE                   ,GALILEO                                           ,70,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,9,9.0,17,  
4162,270413150,7,CHAMBERI            ,705,RIOS ROSAS          ,11041828,276200,CALLE                   ,ESPRONCEDA                                        ,16,28003,"440826,6","4476889,53",1,Puerta Calle,1,Abierto,10,PB,EL RINCÓN DE SANABRIA,1,Anual,1,Abierta,4.45,4.45,05/12/2016,11041828,276200,CALLE                   ,ESPRONCEDA                                        ,16,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,3,3.0,6,  
4163,270413992,7,CHAMBERI            ,701,GAZTAMBIDE          ,11038465,352700,CALLE                   ,GUZMAN EL BUENO                                   ,6,28015,"439494,6","4475854,54",1,Puerta Calle,1,Abierto,10,PB,CAFE PUB EL DOCTOR,1,Anual,1,Abierta,4.95,4.95,05/12/2016,11038465,352700,CALLE                   ,GUZMAN EL BUENO                                   ,6,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,4,4.0,9,  
4164,270416130,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042927,352700,CALLE                   ,GUZMAN EL BUENO                                   ,133,28003,"439508,61","4477143,54",1,Puerta Calle,1,Abierto,60,PB,VIPS CON GINOS,1,Anual,1,Abierta,114.0,114.0,05/12/2016,11042931,423200,CALLE                   ,JULIAN ROMEA                                      ,4,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,6,6.0,12,  
4165,270419992,7,CHAMBERI            ,706,VALLEHERMOSO        ,11042579,159800,CALLE                   ,CEA BERMUDEZ                                      ,34,28003,"439758,6","4476728,54",1,Puerta Calle,1,Abierto,10,PB,CAFETERIA MIJAS,1,Anual,1,Abierta,13.23,13.23,05/12/2016,11042579,159800,CALLE                   ,CEA BERMUDEZ                                      ,34,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,5,6.0,17,  
4166,270431231,7,CHAMBERI            ,702,ARAPILES            ,11039788,661700,CALLE                   ,SAN BERNARDO                                      ,97,28015,"440140,6","4475773,53",1,Puerta Calle,1,Abierto,40,PB,LA TAPA,1,Anual,1,Abierta,15.6,15.6,05/12/2016,31046017,661700,CALLE                   ,SAN BERNARDO                                      ,97, B,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,6,6.0,12,  
4167,270439416,7,CHAMBERI            ,703,TRAFALGAR           ,11040031,444200,CALLE                   ,LUCHANA                                           ,23,28010,"440636,59","4475835,53",1,Puerta Calle,1,Abierto,20,PB,BIENMESABE,1,Anual,1,Abierta,53.08,53.08,05/12/2016,20013788,750700,CALLE                   ,TRAFALGAR                                         ,6,  ,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0.0,17,9.0,58,  
4168,270445167,7,CHAMBERI            ,702,ARAPILES            ,11039390,321900,CALLE                   ,GALILEO                                           ,66,28015,"439775,6","4476338,54",1,Puerta Calle,1,Abierto,10,PB,CAFETERIA BERMEJO,1,Anual,1,Abierta,33.99,33.99,05/12/2016,11039390,321900,CALLE                   ,GALILEO                                           ,66,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,6,6.0,18,  
4173,270447958,7,CHAMBERI            ,703,TRAFALGAR           ,11040354,694525,CALLE                   ,SANTA ENGRACIA                                    ,103,28010,"440640,6","4476508,53",1,Puerta Calle,1,Abierto,20,PB,LIZARRAN,1,Anual,1,Abierta,37.07,37.07,05/12/2016,11040354,694525,CALLE                   ,SANTA ENGRACIA                                    ,103,  ,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0.0,12,12.0,48,  
